factor,n_samples,IC,abs_IC,accuracy,direction,Q5-Q1_spread
tfi_300s,4365,-0.0569,0.0569,52.37,inverse,-1.97
mom_10s,4780,0.0528,0.0528,52.24,same,2.49
mom_300s,4762,-0.0486,0.0486,51.68,inverse,-1.51
tfi_10s,4363,0.0462,0.0462,50.97,same,1.74
obi_10s,4796,0.0356,0.0356,51.44,same,1.48
tfi_60s,4364,-0.0266,0.0266,52.18,inverse,-0.74
tfi_30s,4364,-0.0168,0.0168,50.53,inverse,-0.62
mom_60s,4777,-0.0151,0.0151,50.32,inverse,0.18
obi_30s,4796,0.0099,0.0099,50.85,same,0.1
vsur_10s,4361,0.0077,0.0077,51.34,same,-0.31
vsur_60s,4361,0.0032,0.0032,51.36,same,-0.36
obi_60s,4796,-0.0029,0.0029,50.38,inverse,0.39
vsur_30s,4361,-0.0028,0.0028,51.36,same,-0.99
sprd_ratio,4777,0.0026,0.0026,51.43,same,0.57
sprd_chg_10s,4780,0.0025,0.0025,50.69,inverse,
sprd_chg_30s,4778,-0.001,0.001,50.42,inverse,
mom_30s,4778,-0.0008,0.0008,50.17,same,-0.16
