conditionId,question,window_type,settled,winner,first_buy_side,first_on_winner,both_sides,winner_entered_first,winner_cost,loser_cost,winner_size,loser_size,winner_avg_price,loser_avg_price,cost_on_winner_pct,size_on_winner_pct,time_gap_sec,n_trades
0x011ab78627b84181309c52ab25fa6fdfddaf43c743d3d63a00798f7c080319c0,"Bitcoin Up or Down - February 13, 2:30AM-2:35AM ET",5min,True,Down,No,True,False,True,665.97,0.0,1111.0,0.0,0.5994,,100.0,100.0,0,11
0x0262adc0b35c27c7b5d00211833a131066bf9c75a07be1b5b6eefe13c089b91a,"Bitcoin Up or Down - February 13, 12AM ET",1hour,True,Down,Yes,False,True,False,1056.28,1797.3,3344.64,3232.65,0.3158,0.556,37.0,50.9,200,41
0x14a6df6f5b523abc848fbd3a01f80c90c7bb03e003b2f4d8900178e1c8a96a7d,"Bitcoin Up or Down - February 13, 2:15AM-2:30AM ET",15min,True,Down,No,True,True,True,236.99,633.46,394.84,1917.25,0.6002,0.3304,27.2,17.1,14,19
0x17ad78ca730d2d7e5d7bb53c754ef9bf7218a51f73dd164585f56bf55029572a,"Bitcoin Up or Down - February 13, 2:35AM-2:40AM ET",5min,True,Down,No,True,True,True,319.11,65.44,565.76,109.95,0.564,0.5952,83.0,83.7,4,14
0x1f813b0cff75b3531770b28342f42456753e3df8f1ce99928850a448ad6328a6,"Ethereum Up or Down - February 13, 1AM ET",1hour,True,Up,Yes,True,True,True,638.19,1410.65,2693.88,1797.98,0.2369,0.7846,31.1,60.0,1312,51
0x287c2b592cdfcac870401c77dc0b85610cb57c9a3f64bacb953f172b1e5c96a7,"Ethereum Up or Down - February 13, 2:45AM-3:00AM ET",15min,False,Up,Yes,True,True,True,233.49,77.31,411.72,273.59,0.5671,0.2826,75.1,60.1,50,22
0x3beee638d2c0571c8e14f749fb7307b6675f50208c8edecd0168b11a7de5a5a4,"Bitcoin Up or Down - February 13, 2:45AM-3:00AM ET",15min,False,Up,Yes,True,True,True,981.42,1889.28,1819.64,3988.96,0.5393,0.4736,34.2,31.3,38,43
0x3eef4e353a0c15d9ce40ce72be91bae912b98a63cd0b68180ae0d76de32d1684,"Bitcoin Up or Down - February 13, 1AM ET",1hour,True,Up,Yes,True,True,True,1959.11,2757.02,4256.43,4895.01,0.4603,0.5632,41.5,46.5,1380,58
0x4da2b287d2acd0c7b4428fd6ec92b328b0600d4e245db7f3a4334cf232886be0,"Solana Up or Down - February 13, 2AM ET",1hour,False,Down,Yes,False,True,False,424.96,266.18,1074.32,435.7,0.3956,0.6109,61.5,71.1,136,29
0x4e3ac7cd0a9830c2fd52be3e1e7e79f1466aa7207f95717ec98ccad33666fbe0,"Bitcoin Up or Down - February 13, 2AM ET",1hour,True,Down,Yes,False,True,False,1321.99,1903.64,2859.92,3346.05,0.4622,0.5689,41.0,46.1,334,30
0x75f9b757f208c208914190d6b196cbc0cae7a214caaab35f07b3c4d7cedbc626,"XRP Up or Down - February 13, 1AM ET",1hour,True,Up,No,False,True,False,425.56,632.71,982.07,975.81,0.4333,0.6484,40.2,50.2,422,54
0x7904ec530e259201365d9c094b3000e891efa1b125e4219de53e502bc0c6bfa0,"Ethereum Up or Down - February 13, 2:15AM-2:30AM ET",15min,True,Down,No,True,True,True,424.37,278.43,708.57,621.01,0.5989,0.4484,60.4,53.3,10,16
0x996ce3cb3fe2b585e93ad484e7263f396b19432e8c5b92f3972cb42878e327f4,"Ethereum Up or Down - February 13, 2AM ET",1hour,False,Down,Yes,False,True,False,1015.67,685.85,2633.49,1401.92,0.3857,0.4892,59.7,65.3,1828,45
0xa894aecd71ba7ebde0b6fbb3e26eb2ae91c33b79bb6eba05acff1835a7f5ba33,"Solana Up or Down - February 13, 1AM ET",1hour,True,Up,No,False,True,False,290.42,1133.68,1118.23,1806.27,0.2597,0.6276,20.4,38.2,46,42
0xc924e3c068c9ccb6f79224604a2562a01a1c62e427e27747df8a6cc008693459,"Bitcoin Up or Down - February 13, 2:45AM-2:50AM ET",5min,False,Up,Yes,True,True,True,396.95,568.43,642.61,1033.51,0.6177,0.55,41.1,38.3,38,26
0xca7c286748fb28c89627bf941069d4b1b6eab5fd326057553e5c6d0a91f0e31e,"Bitcoin Up or Down - February 13, 2:25AM-2:30AM ET",5min,False,Down,No,True,False,True,445.55,0.0,788.21,0.0,0.5653,,100.0,100.0,0,10
0xd3ab2bbb1b4b8d452c5162c34feedb9465580eefcb3b03fbaf6c807438daff66,"Ethereum Up or Down - February 13, 2:30AM-2:45AM ET",15min,True,Down,No,True,True,True,177.24,25.54,275.69,372.53,0.6429,0.0685,87.4,42.5,406,10
0xd7c6cb3d28923df23d2c708504993e30ca2103c81f4f8c895c1a1f53857be30d,"Bitcoin Up or Down - February 13, 2:40AM-2:45AM ET",5min,True,Down,No,True,True,True,408.79,3.92,727.73,10.06,0.5617,0.39,99.0,98.6,44,10
0xdf79e8e1f4a6cec69c15b52877d75741caf757ee3e3c8e322927e262962efe61,"Bitcoin Up or Down - February 13, 2:30AM-2:45AM ET",15min,True,Down,No,True,True,True,886.01,40.01,1428.0,311.21,0.6205,0.1286,95.7,82.1,234,10
0xe0f6987b426eb5a16294951c8f42ab86132946abab558b0d9fad94473cefacea,"XRP Up or Down - February 13, 2AM ET",1hour,False,Down,Yes,False,True,False,185.79,323.06,616.49,733.56,0.3014,0.4404,36.5,45.7,120,27
