accuracy,pnl_mean,pnl_median,pnl_p5,pnl_p95,pnl_std,win_rate_pct,vs_actual_pct
0.5,3121.12,3118.02,-3397.08,9589.47,3944.69,78.19,35.62
0.525,4152.37,4126.77,-2425.78,10590.03,3943.87,85.21,47.4
0.55,5177.69,5218.08,-1396.5,11599.87,3929.8,90.18,59.1
0.55,5177.69,5218.08,-1396.5,11599.87,3929.8,90.18,59.1
0.575,6200.6,6271.88,-361.2,12564.24,3908.44,94.05,70.77
0.6,7213.27,7279.17,704.66,13481.44,3884.81,96.62,82.33
0.6,7213.27,7279.17,704.66,13481.44,3884.81,96.62,82.33
0.625,8232.97,8315.79,1734.25,14363.82,3823.65,98.2,93.97
0.65,9272.21,9361.91,2770.32,15225.92,3761.06,99.18,105.83
0.65,9272.21,9361.91,2770.32,15225.92,3761.06,99.18,105.83
0.675,10285.8,10407.37,3913.03,16125.43,3702.98,99.61,117.4
0.7,11294.29,11421.69,5042.48,17000.15,3625.42,99.84,128.91
0.7,11294.29,11421.69,5042.48,17000.15,3625.42,99.84,128.91
0.725,12321.03,12497.85,6235.33,17783.93,3532.21,99.94,140.63
0.75,13345.15,13538.36,7455.8,18697.47,3425.25,100.0,152.32
0.75,13345.15,13538.36,7455.8,18697.47,3425.25,100.0,152.32
0.775,14352.89,14555.01,8644.2,19408.65,3307.31,100.0,163.83
0.8,15384.97,15602.09,9809.81,20202.72,3167.55,100.0,175.61
0.8,15384.97,15602.09,9809.81,20202.72,3167.55,100.0,175.61
0.85,17434.66,17729.07,12289.81,21602.24,2838.82,100.0,199.0
0.9,19441.02,19755.0,15033.0,22774.03,2373.11,100.0,221.9
0.95,21487.6,21910.43,18150.96,23526.61,1732.8,100.0,245.26
1.0,23526.61,23526.61,23526.61,23526.61,0.0,100.0,268.54
